"","product_group","year","exports"
"440","Plastic or Rubber","1996",56187.746
"441","Plastic or Rubber","1997",68238.776
"442","Plastic or Rubber","1998",78255.159
"443","Plastic or Rubber","1999",81382.268
"444","Plastic or Rubber","2000",114665.825
"445","Plastic or Rubber","2001",162606.461
"446","Plastic or Rubber","2002",202479.124
"447","Plastic or Rubber","2003",270891.254
"448","Plastic or Rubber","2004",386511.873
"449","Plastic or Rubber","2005",586135.309
"450","Plastic or Rubber","2006",803126.898
"451","Plastic or Rubber","2007",1173397.337
"452","Plastic or Rubber","2008",1541746.116
"453","Plastic or Rubber","2009",1558188.517
"454","Plastic or Rubber","2010",2148728.36
"455","Plastic or Rubber","2011",3111318.814
"456","Plastic or Rubber","2012",3979165.353
"457","Plastic or Rubber","2013",4161182.699
"458","Plastic or Rubber","2014",4552807.384
"459","Plastic or Rubber","2015",4320676.921
"460","Plastic or Rubber","2016",3709619.121
"461","Plastic or Rubber","2017",4241442.456
"462","Plastic or Rubber","2018",4882820.798
"463","Plastic or Rubber","2019",5118444.978
"464","Plastic or Rubber","2020",5574493.872
"465","Stone and Glass","1992",11417.126
"466","Stone and Glass","1993",22627.611
"467","Stone and Glass","1994",33952.52
"468","Stone and Glass","1995",60835.302
"469","Stone and Glass","1996",62404.629
"470","Stone and Glass","1997",85745.876
"471","Stone and Glass","1998",80589.362
"472","Stone and Glass","1999",86482.3230000001
"473","Stone and Glass","2000",89552.085
"474","Stone and Glass","2001",73787.8899999999
"475","Stone and Glass","2002",98838.519
"476","Stone and Glass","2003",135074.22
"477","Stone and Glass","2004",209120.995
"478","Stone and Glass","2005",307195.665
"479","Stone and Glass","2006",422098.01
"480","Stone and Glass","2007",560663.171
"481","Stone and Glass","2008",800723.59
"482","Stone and Glass","2009",836581.329
"483","Stone and Glass","2010",1214468.072
"484","Stone and Glass","2011",1502758.116
"485","Stone and Glass","2012",2371750.704
"486","Stone and Glass","2013",2545538.723
"487","Stone and Glass","2014",3242513.356
"488","Stone and Glass","2015",3488881.702
"489","Stone and Glass","2016",2460890.253
"490","Stone and Glass","2017",2335616.364
"491","Stone and Glass","2018",2509121.538
"492","Stone and Glass","2019",2800393.464
"493","Stone and Glass","2020",3001706.8
"494","Textiles and Clothing","1992",145108.797
"495","Textiles and Clothing","1993",358055.328
"496","Textiles and Clothing","1994",367718.733
"497","Textiles and Clothing","1995",499628.908
"498","Textiles and Clothing","1996",433679.488
"499","Textiles and Clothing","1997",516519.226
"500","Textiles and Clothing","1998",633806.025
"501","Textiles and Clothing","1999",635139.531
"502","Textiles and Clothing","2000",956837.862
"503","Textiles and Clothing","2001",1201108.3
"504","Textiles and Clothing","2002",1285112.637
"505","Textiles and Clothing","2003",2070494.655
"506","Textiles and Clothing","2004",2801711.11
"507","Textiles and Clothing","2005",3421647.104
