region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
WHA,United States of America,San Antonio,Confucius Institute at University of Texas at San Antonio,Closed,University of Texas at San Antonio,2009,2019
WHA,United States of America,Seattle,Confucius Institute at University of Washington and Seattle Public Schools,Closed,University of Washington and Seattle Public Schools,2009,2020
WHA,United States of America,Kalamazoo,Confucius Institute at Western Michigan University,Closed,Western Michigan University,2009,2021
WHA,United States of America,Atlanta,Confucius Institute at Georgia State University,Closed,Georgia State University,2010,2020
WHA,United States of America,Tacoma,Confucius Institute of the State of Washington,Active,Pacific Lutheran University,2010,NA
WHA,United States of America,New York,Confucius Institute at State University of New York,Closed,State University of New York,2010,2022
WHA,United States of America,Lexington,Confucius Institute at University of Kentucky,Closed,University of Kentucky,2010,2021
WHA,United States of America,Durham,Confucius Institute at University of New Hampshire,Closed,University of New Hampshire,2010,2021
WHA,United States of America,Eugene,Confucius Institute at University of Oregon,Closed,University of Oregon,2010,2019
WHA,United States of America,Bowling Green,Confucius Institute at Western Kentucky University,Closed,Western Kentucky University,2010,2019
WHA,United States of America,Williamsburg,Confucius Institute at College of William & Mary,Closed,College of William & Mary,2011,2021
WHA,United States of America,State College,Confucius Institute at Pennsylvania State University,Closed,Pennsylvania State University,2011,2014
WHA,United States of America,Columbia,Confucius Institute at University of Missouri,Closed,University of Missouri,2011,2020
WHA,United States of America,New Orleans,Confucius Institute at Xavier University of Louisiana,Closed,Xavier University of Louisiana,2011,2021
WHA,United States of America,Montgomery,Confucius Institute at Auburn University at Montgomery,Closed,Auburn University at Montgomery,2012,2019
WHA,United States of America,Fort Lauderdale,Confucius Institute at Broward County Public Schools,Closed,Broward County Public Schools,2012,2019
WHA,United States of America,New Britain,Confucius Institute at Central Connecticut State University,Closed,Central Connecticut State University,2012,2021
WHA,United States of America,Las Vegas,Confucius Institute at Clark County School District,Closed,Clark County School District,2012,2019
WHA,United States of America,Fort Collins,Confucius Institute at Colorado State University,Closed,Colorado State University,2012,2021
WHA,United States of America,Farmington,Confucius Institute at Davis County School District,Active,Davis County School District,2012,NA
WHA,United States of America,New Philadelphia,Confucius Institute at East Central Ohio Educational Center,Active,East Central Ohio Educational Center,2012,NA
WHA,United States of America,"Washington, D.C.",Confucius Institute at George Washington University,Closed,George Washington University,2012,2021
WHA,United States of America,Houston,Confucius Institute at Houston Independent School District,Active,Houston Independent School District,2012,NA
WHA,United States of America,Norfolk,Confucius Institute at Old Dominion University,Closed,Old Dominion University,2012,2020
WHA,United States of America,Houston,Confucius Institute at Texas Southern University,Closed,Texas Southern University,2012,2018
WHA,United States of America,Davis,Confucius Institute at University of California-Davis,Closed,University of California-Davis,2012,2020
WHA,United States of America,Macon,Confucius Institute at Wesleyan College,Active,Wesleyan College,2012,NA
WHA,United States of America,Prairie View,Confucius Institute at Prarie View A&M University,Closed,Prairie View A&M University,2013,2018
WHA,United States of America,Savannah,Confucius Institute at Savannah State University,Closed,Savannah State University,2013,2020
WHA,United States of America,St. Cloud,Confucius Institute at St. Cloud State University,Active,St. Cloud State University,2013,NA
WHA,United States of America,New Orleans,Confucius Institute at Tulane University,Closed,Tulane University,2013,2017
WHA,United States of America,Albany,"Confucius Institute at University at Albany, State University of New York",Closed,"University at Albany, State University of New York",2013,2021
WHA,United States of America,Santa Barbara,"Confucius Institute at University of California, Santa Barbara",Closed,"University of California, Santa Barbara",2013,2021
WHA,United States of America,Moscow,Confucius Institute at University of Idaho,Closed,University of Idaho,2013,2020
WHA,United States of America,Champaign,Confucius Institute at University of Illinois at Urbana-Champaign,Closed,University of Illinois at Urbana-Champaign,2013,2017
WHA,United States of America,Portland,Confucius Institute at University of Southern Maine,Closed,University of Southern Maine,2013,2021
WHA,United States of America,Knoxville,Confucius Institute at University of Tennessee,Closed,University of Tennessee,2013,2019
WHA,United States of America,Pensacola,Confucius Institute at University of West Florida,Closed,University of West Florida,2013,2018
WHA,United States of America,Huntsville,Confucius Institute at Alabama A&M University,Closed,Alabama A&M University,2014,2021
WHA,United States of America,Augusta,Confucius Institute at Augusta University,Closed,Augusta University,2014,2018
WHA,United States of America,Long Beach,Confucius Institute at California State University - Long Beach,Closed,California State University - Long Beach,2014,2020
WHA,United States of America,Manhattan,Confucius Institute at Kansas State University,Closed,Kansas State University,2014,2019
WHA,United States of America,Aberdeen,Confucius Institute at Northern State University,Closed,Northern State University,2014,2019
WHA,United States of America,Philadelphia,Confucius Institute at Temple University,Closed,Temple University,2014,2021
WHA,United States of America,Medford,Confucius Institute at Tufts University,Closed,Tufts University,2014,2021
WHA,United States of America,Jacksonville,Confucius Institute at University of North Florida,Closed,University of North Florida,2014,2018
WHA,United States of America,Morgantown,Confucius Institute at West Virginia University,Closed,West Virginia University,2014,2021
WHA,United States of America,Jersey City,Confucius Institute at New Jersey City University,Closed,New Jersey City University,2015,2021
WHA,United States of America,Nampa,Confucius Institute at Northwest Nazarene University,Closed,Northwest Nazarene University,2015,2021
WHA,United States of America,Cedar City,Confucius Institute at Southern Utah University,Closed,Southern Utah University,2015,2022
WHA,United States of America,New York,Confucius Institute at Baruch College,Closed,Baruch College,2016,2021
WHA,United States of America,Charlotte,Confucius Institute at University of North Carolina at Charlotte,Closed,University of North Carolina at Charlotte,2016,2020
WHA,United States of America,New York,Confucius Institute at Medgar Evers College,Active,Medgar Evers College,2018,NA
WHA,United States of America,Franklin,Confucius Institute at Simpson County Schools,Active,Simpson County Schools,2019,NA
WHA,Uruguay,Montevideo,Confucius Institute at University of the Republic,Active,University of the Republic,2016,NA
SCA,Uzbekistan,Tashkent,"Confucius Institute at Tashkent State Institute of Oriental Studies, Uzbekistan",Active,"Tashkent State Institute of Oriental Studies, Uzbekistan",2004,NA
SCA,Uzbekistan,Samarkand,Confucius Institute at Samarkand State Institute of Foreign Languages,Active,Samarkand State Institute of Foreign Languages,2013,NA
WHA,Venezuela (Bolivarian Republic of),Caracas,Confucius Institute at Bolivarian University of Venezuela,Active,Bolivarian University of Venezuela,2015,NA
EAP,Viet Nam,Hanoi,Confucius Institute at Hanoi University,Active,Hanoi University,2013,NA
AF,Zambia,Lusaka,Confucius Institute at University of Zambia,Active,University of Zambia,2010,NA
AF,Zimbabwe,Harare,Confucius Institute at University of Zimbabwe,Active,University of Zimbabwe,2006,NA
