Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barbados,BRB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,1.471030383,1.187454285,1.291015677,0.853140628,0.817722977,1.64195847,1.26006667,0.825152334,0.438189117,0.536125687,0.9365655,0.862167843,0.352179009,0.353078599,0.238774112,0.272393771,0.412401726,0.242882341,0.317011883,0.281910083,0.228466663,0.260977392,0.250731699,0.18929428,0.149554314,0.283706779,0.399822398,0.25063434,0.208690648,0.235342655,0.287584943,0.381049608,0.448730344,0.377080678,0.496597883,0.277383073,0.38320514,0.564424064,0.561562632,0.532195138,0.462755001,0.195077776,0.142933943,0.217743353,0.321377221,0.279179607,0.221262259,
Brunei Darussalam,BRN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.83445547,7.335745892,16.50194961,27.863995,56.61275929,58.63081061,61.76637203,58.62858413,54.54873796,,58.55128618,36.3410752,21.64181475,31.19658788,31.29708932,32.34496482,30.08661367,28.46835171,21.99796363,26.82070975,35.08089013,20.25131851,19.06357006,19.5448898,18.90611554,17.78693772,19.94324958,18.07788847,12.26961593,18.91705207,29.72221954,24.56033674,20.91080664,23.29150915,28.13709182,34.2563275,36.44054315,28.61833937,30.08670146,23.69313642,23.6267746,29.88730602,26.73937938,22.71450718,21.35126937,18.77054986,14.59661819,17.87521131,26.12758197,22.61442388,17.0062596,
Bhutan,BTN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,14.40608525,11.70531339,17.28797107,10.66673443,8.620818642,5.912557204,8.472567424,6.152141364,5.752566428,5.764896063,6.262097518,7.573536656,7.939300997,6.516559389,5.359164368,6.123759569,5.833237431,4.278836058,4.188583808,4.283373518,3.991500865,3.85748225,3.571697964,3.337042603,2.9646182,2.641787698,3.39335513,4.302101869,4.202360983,3.535866554,5.305074675,4.921040103,4.221810972,3.426397378,3.418838606,4.028295413,4.436401933,3.364025256,1.988697009,2.179810581,2.88398063,
Botswana,BWA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,3.153987157,2.106629413,1.888804761,2.458213395,4.715474138,4.504375615,8.426684023,7.208836959,3.585384665,4.771983826,4.317529185,3.142472287,3.494736175,2.303244181,1.64485338,1.88553882,1.485040108,1.142429724,7.250764809,5.569791773,2.049023856,3.07097927,1.971537955,1.148281953,1.62952199,2.320880809,1.248209312,1.381343281,0.850202049,1.356367529,2.374904358,1.160004172,0.909346565,1.928985432,3.221841886,2.339752245,6.300446181,7.157616266,3.884623518,2.213216086,2.080608591,1.859884943,2.175497767,1.34946191,0.909144872,0.790999719,0.752329813,0.866281934,0.809852818,0.627107705,0.678482793,
Central African Republic,CAF,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,8.234246307,8.066811155,9.009108752,12.1458882,11.37106037,10.46012264,8.597198398,11.35295028,10.55839326,9.386261384,10.09204506,9.872660535,11.34467083,9.2074119,9.018277991,5.482919757,5.984440058,5.428552925,5.530499682,6.129002636,6.362185278,6.171536682,6.89469256,6.522793601,11.76658737,12.39677337,12.00715475,13.19640012,13.53625768,9.612906861,11.21129942,10.88043589,11.41282823,11.72988986,8.182977455,8.596218931,10.02384369,9.960894806,11.79103588,8.798847211,7.898561965,8.449376378,9.160431493,12.88531083,11.26607225,12.69262339,13.05826289,13.417585,10.86430909,9.80816734,9.322767695,
Canada,CAN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.213034194,1.907054867,1.901961472,3.146193435,5.856292172,4.649480334,4.189214526,4.4517702,4.09092018,8.427690612,8.994083721,5.775435594,3.314924199,4.366213256,4.507414109,4.194779083,1.981445858,2.810463889,2.825168158,2.797613358,2.891613824,2.216550818,2.430667006,2.645326892,2.450906547,2.453170541,3.101449914,2.424895855,1.479076322,2.157453305,3.911229482,3.247753216,2.356945633,2.92957696,4.030162238,4.411972771,3.855923609,3.632175429,5.007500572,2.025201372,2.237042013,2.969299133,1.804264542,1.915526954,1.648838282,0.335525992,0.779091496,1.231551039,2.12446559,1.986983576,1.495781116,
Central Europe and the Baltics,CEB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.838030214,1.963721647,2.040349038,1.504745158,1.299435819,1.679084164,0.829493578,2.758775406,3.475434087,3.53888709,2.80370088,1.987881919,1.632151934,1.335963077,1.022582946,1.009120392,0.949150256,0.870658466,0.506414636,0.578093535,0.923226101,1.01148296,0.74948203,0.718382687,1.10323297,0.977750743,1.194876037,1.040203562,1.519296293,0.922056596,2.235594877,2.906012176,2.100575139,1.772551927,1.625639916,0.815006146,1.008100794,1.470136841,1.377932895,0.592844315,0.52910086,
Switzerland,CHE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.058186901,0.052994639,0.045806366,0.037660611,0.042198832,0.039840471,0.037267788,0.029938038,0.028368944,0.033012494,0.038588239,0.021053559,0.020689065,0.020559837,0.019512059,0.019335503,0.018414897,0.019488855,0.017574315,0.016948358,0.033842806,0.01999843,0.017448039,0.01791482,0.013709283,0.014192716,0.016708022,0.018432424,0.016050457,0.014648203,0.014945378,0.012502309,0.011098871,0.011907936,0.01301673,0.010448143,0.010272269,0.009496619,0.012606885,0.008604276,0.009076323,
Channel Islands,CHI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Chile,CHL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,10.16646175,6.631438841,5.820452059,7.381277787,11.15834634,13.24906334,12.88156501,8.816041041,7.563886936,9.47452884,8.792762266,5.636034215,6.704347107,9.21604953,8.11593726,9.062578549,7.077604166,8.595334744,11.86047972,12.82568866,11.17127087,5.950337343,4.631996691,3.364750314,4.886750002,6.556203311,4.998876485,4.659208905,2.536022656,3.683981625,4.873177374,3.945015861,3.7355708,5.0881321,9.571158266,9.748183505,17.22008146,17.00514935,13.79448489,8.756757597,11.90029611,12.12910557,9.075510729,7.626927845,6.838587464,4.028488542,3.199547397,5.297854673,5.762859827,4.851967405,2.972394093,
